command line args: main.py --env-name MsPacmanNoFrameskip-v0 --algo a2c --num-stack 4 --train-on-200x160-pixel --port 5026 --log-dir /tmp/a2c_mspacman --num-processes 128
Updates 0, num timesteps 640, FPS 398, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 2.18486, value loss 0.01736, policy loss 0.21304, time 0.02680 min
Updates 10, num timesteps 7040, FPS 472, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 2.19688, value loss 0.00000, policy loss -0.00016, time 0.24817 min
Updates 20, num timesteps 13440, FPS 482, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 2.19714, value loss 0.00000, policy loss 0.00012, time 0.46457 min
Updates 30, num timesteps 19840, FPS 481, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 2.19719, value loss 0.00000, policy loss -0.00006, time 0.68675 min
Updates 40, num timesteps 26240, FPS 486, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 2.19722, value loss 0.00000, policy loss 0.00018, time 0.89918 min
Updates 50, num timesteps 32640, FPS 488, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 2.16387, value loss 0.03287, policy loss -0.00533, time 1.11288 min
Updates 60, num timesteps 39040, FPS 490, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 1.09982, value loss 0.13051, policy loss 0.02301, time 1.32779 min
Updates 70, num timesteps 45440, FPS 491, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 0.34416, value loss 0.11800, policy loss -0.02230, time 1.54050 min
Updates 80, num timesteps 51840, FPS 491, mean/median reward 0.0/0.0, min/max reward 0.0/0.0, entropy 1.41973, value loss 0.13036, policy loss -0.06710, time 1.75892 min
Updates 90, num timesteps 58240, FPS 492, mean/median reward 0.0/0.0, min/max reward 0.0/6.0, entropy 1.46109, value loss 0.13068, policy loss 0.05141, time 1.97197 min
Updates 100, num timesteps 64640, FPS 491, mean/median reward 0.4/0.0, min/max reward 0.0/11.0, entropy 1.30327, value loss 0.09176, policy loss -0.03615, time 2.19150 min
Updates 110, num timesteps 71040, FPS 491, mean/median reward 0.4/0.0, min/max reward 0.0/11.0, entropy 1.97001, value loss 0.04810, policy loss -0.03338, time 2.41124 min
Updates 120, num timesteps 77440, FPS 491, mean/median reward 0.4/0.0, min/max reward 0.0/11.0, entropy 2.07555, value loss 0.02007, policy loss -0.05753, time 2.62492 min
Updates 130, num timesteps 83840, FPS 490, mean/median reward 0.7/0.0, min/max reward 0.0/18.0, entropy 2.15144, value loss 0.02074, policy loss -0.01272, time 2.84719 min
Updates 140, num timesteps 90240, FPS 490, mean/median reward 1.1/0.0, min/max reward 0.0/18.0, entropy 2.16538, value loss 0.06346, policy loss 0.07682, time 3.06360 min
Updates 150, num timesteps 96640, FPS 491, mean/median reward 2.6/0.0, min/max reward 0.0/24.0, entropy 2.17930, value loss 0.02593, policy loss 0.01452, time 3.27737 min
Updates 160, num timesteps 103040, FPS 490, mean/median reward 4.1/0.0, min/max reward 0.0/24.0, entropy 2.17869, value loss 0.01057, policy loss -0.03483, time 3.49851 min
Updates 170, num timesteps 109440, FPS 490, mean/median reward 5.1/0.0, min/max reward 0.0/27.0, entropy 2.18214, value loss 0.01209, policy loss -0.01102, time 3.71766 min
Updates 180, num timesteps 115840, FPS 490, mean/median reward 5.6/0.0, min/max reward 0.0/27.0, entropy 2.18560, value loss 0.04112, policy loss 0.05085, time 3.93673 min
Updates 190, num timesteps 122240, FPS 489, mean/median reward 5.7/0.0, min/max reward 0.0/27.0, entropy 2.18456, value loss 0.01666, policy loss -0.01192, time 4.16117 min
Updates 200, num timesteps 128640, FPS 489, mean/median reward 5.6/0.0, min/max reward 0.0/27.0, entropy 2.19113, value loss 0.01494, policy loss -0.00395, time 4.38310 min
Updates 210, num timesteps 135040, FPS 489, mean/median reward 5.5/0.0, min/max reward 0.0/27.0, entropy 2.19093, value loss 0.02205, policy loss 0.01304, time 4.59758 min
Updates 220, num timesteps 141440, FPS 489, mean/median reward 6.7/0.0, min/max reward 0.0/27.0, entropy 2.18982, value loss 0.00862, policy loss -0.03249, time 4.81532 min
Updates 230, num timesteps 147840, FPS 489, mean/median reward 8.0/0.0, min/max reward 0.0/27.0, entropy 2.18735, value loss 0.00916, policy loss -0.01503, time 5.03625 min
Updates 240, num timesteps 154240, FPS 489, mean/median reward 11.2/14.0, min/max reward 0.0/28.0, entropy 2.19059, value loss 0.02279, policy loss 0.00004, time 5.25697 min
